freq,coop_ptn,unit,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,INVT,P_MHAB,AT	: 	: 	: 	: 	: 	: 	: 	223.08 	238.55 	251.30 	250.17 	251.89 	253.99 	272.12 	281.43 	284.91 	277.90 	266.41 	281.58 	282.27 p
A,INVT,P_MHAB,BA	: 	: 	: 	: 	: 	: 	: 	0.26 	0.26 	0.52 	0.78 	0.54 	0.28 	0.57 	1.14 p	: 	: 	: 	: 	: 
A,INVT,P_MHAB,BE	: 	: 	: 	: 	: 	: 	: 	177.11 b	176.11 b	188.72 	195.02 	190.43 	204.83 	196.92 	204.51 	204.98 	202.88 	213.65 p	215.3 p	221.33 p
A,INVT,P_MHAB,BG	: 	: 	: 	: 	: 	: 	: 	2.86 	3.56 	4.82 	4.57 	5.99 	3.79 	5.09 	6.12 	6.88 	8.94 	6.97 	8.97 b	7.75 bp
A,INVT,P_MHAB,CH	: 	: 	: 	: 	: 	: 	: 	562.66 b	567.22 	569.27 	559.31 	608.16 	584.59 	583.66 	619.07 	647.91 	646.20 	841.58 p	659.54 p	673.6 p
A,INVT,P_MHAB,CY	: 	: 	: 	: 	: 	: 	: 	19.98 	28.94 	13.92 	11.73 	16.52 	17.61 	16.29 	14.94 	19.28 	26.91 	39.43 p	20.82 p	24.98 p
A,INVT,P_MHAB,CZ	: 	: 	: 	: 	: 	: 	: 	21.25 	20.55 	21.21 	24.23 	27.21 	26.88 	28.03 	34.24 	25.58 	27.39 	22.21 b	31.11 b	32.69 p
A,INVT,P_MHAB,DE	: 	: 	: 	: 	: 	: 	: 	334.50 b	345.01 	330.43 	319.80 	307.48 	310.90 	315.64 	330.10 	334.61 	326.22 	317.47 	312.51 	318.25 p
A,INVT,P_MHAB,DK	: 	: 	: 	: 	: 	: 	: 	335.15 	308.32 	336.96 	348.01 	333.60 	322.97 	353.86 	394.92 	387.48 	393.04 	442.16 	431.81 	426.62 p
A,INVT,P_MHAB,EE	: 	: 	: 	: 	: 	: 	: 	34.65 	36.29 	37.94 	27.39 	27.37 b	34.20 	43.27 	37.82 	39.94 	44.38 	52.74 	45.97 	49.05 p
A,INVT,P_MHAB,EL	: 	: 	: 	: 	: 	: 	: 	8.46 	9.05 	8.03 	11.48 	10.81 	8.72 	12.46 	13.98 	15.67 	15.80 	20.92 e	23.21 ep	20.07 p
A,INVT,P_MHAB,ES	: 	: 	: 	: 	: 	: 	: 	35.83 	39.10 	38.61 	38.36 	38.71 	40.53 	45.95 	48.04 	49.26 	46.81 	45.03 p	50.76 bp	53.59 p
A,INVT,P_MHAB,EU27_2020	: 	: 	: 	: 	: 	: 	: 	135.68 b	136.85 b	137.31 	140.3 b	139.37 b	141.52 	145.48 b	151.5 e	152.05 bep	150.3 ep	152.35 bep	153.61 bep	155.72 bep
A,INVT,P_MHAB,FI	: 	: 	: 	: 	: 	: 	: 	247.20 	291.47 	300.61 	331.78 	302.40 	288.79 	275.95 	283.38 	288.50 	294.78 	339.05 	284.19 	305 p
A,INVT,P_MHAB,FR	: 	: 	: 	: 	: 	: 	: 	145.28 	143.63 	144.91 	152.70 b	155.80 	157.26 	161.48 	161.31 	157.18 p	159.77 p	158.68 p	163.17 p	158.54 p
A,INVT,P_MHAB,HR	: 	: 	: 	: 	: 	: 	: 	6.30 	6.79 	4.94 	5.43 	4.75 	6.95 	4.84 	7.58 	9.34 	9.64 	7.38 bp	14 	17.66 p
A,INVT,P_MHAB,HU	: 	: 	: 	: 	: 	: 	: 	19.15 	22.68 b	23.25 	23.92 	20.12 	20.28 	21.66 	25.06 	23.33 	25.33 	19.80 	25.3 bp	23.54 bp
A,INVT,P_MHAB,IE	: 	: 	: 	: 	: 	: 	: 	97.38 	98.27 	97.75 	121.30 	104.21 	117.13 	113.78 	110.33 e	118.96 e	132.39 	166.36 	133.8 	124.26 p
A,INVT,P_MHAB,IS	: 	: 	: 	: 	: 	: 	: 	100.31 	112.25 	83.39 	100.80 	120.91 	86.45 	131.04 	87.89 	127.58 	109.15 	163.70 	123.04 	100.58 p
A,INVT,P_MHAB,IT	: 	: 	: 	: 	: 	: 	: 	80.72 	76.50 	73.15 	71.84 	77.01 	79.73 	83.55 	86.51 	87.24 b	90.31 	88.22 p	94.69 p	96.36 p
A,INVT,P_MHAB,LI	: 	: 	: 	: 	: 	: 	: 	1184.18 	818.40 	1081.55 	1181.27 	1760.28 	1034.04 	1001.00 	1385.77 	1270.65 	1388.14 	8206.15 p	911.53 p	957.73 p
